"date","Griep","symptomen","symptomen griep","de griep","griep koorts","koorts","tegen griep","griep hoe lang","griep heerst","verkoudheid","hoe lang duurt griep","ziek","griep hoofdpijn","griep wat te doen","heerst er griep","griep zwanger","verschijnselen griep","griep kind","griep spierpijn","griep hoesten"
2013-08-17 22:00:00,6,81,4,13,7,37,8,3,23,26,0,24,9,7,11,11,11,0,0,0
2013-08-24 22:00:00,7,77,1,8,11,34,15,3,7,26,4,28,9,6,22,22,7,8,0,0
2013-08-31 22:00:00,8,75,6,8,8,35,12,2,22,32,3,28,18,19,26,26,0,7,9,7
2013-09-07 22:00:00,9,72,4,5,15,34,12,2,31,36,6,30,25,17,10,20,7,14,8,14
2013-09-14 22:00:00,15,66,6,15,18,34,19,5,31,59,0,30,26,18,40,51,0,14,9,7
2013-09-21 22:00:00,13,71,5,9,13,36,22,7,40,54,3,35,9,18,15,42,7,0,9,7
2013-09-28 22:00:00,17,65,4,13,14,35,22,4,32,64,3,32,30,9,35,20,31,7,17,21
2013-10-05 22:00:00,14,69,4,13,9,34,21,5,35,40,13,26,34,15,40,35,31,14,13,14
2013-10-12 22:00:00,14,69,4,10,17,34,5,6,17,38,5,30,17,9,15,20,17,10,8,7
2013-10-19 22:00:00,15,78,5,13,9,37,19,6,32,36,3,26,13,18,51,31,24,28,9,7
2013-10-26 22:00:00,13,81,2,19,15,28,23,3,30,32,3,29,16,6,29,10,10,7,8,20
2013-11-02 23:00:00,12,78,2,10,12,37,16,9,13,30,6,30,16,12,10,29,23,14,8,10
2013-11-09 23:00:00,10,71,3,14,12,35,16,5,27,38,5,32,12,0,20,40,37,14,8,7
2013-11-16 23:00:00,15,70,5,18,10,39,21,5,44,38,5,31,17,12,25,40,44,10,8,7
2013-11-23 23:00:00,13,69,5,10,19,34,16,8,27,46,3,30,24,11,19,49,33,17,20,7
2013-11-30 23:00:00,15,69,5,12,7,32,21,2,27,40,6,31,12,9,29,20,13,13,8,7
2013-12-07 23:00:00,15,72,5,11,12,43,33,10,17,47,8,33,26,12,25,25,17,28,21,7
2013-12-14 23:00:00,12,69,6,12,15,41,19,6,35,42,0,32,17,18,40,30,7,0,8,0
2013-12-21 23:00:00,13,64,5,10,14,36,11,7,23,45,7,27,14,23,22,56,8,8,14,16
2013-12-28 23:00:00,14,68,3,12,9,40,20,2,22,58,3,27,22,12,21,32,0,15,18,22
2014-01-04 23:00:00,15,75,8,10,21,39,18,9,16,45,3,42,24,27,19,14,6,6,8,10
2014-01-11 23:00:00,17,74,7,12,15,39,24,6,26,41,6,32,27,16,28,28,19,6,8,0
2014-01-18 23:00:00,17,74,10,14,13,44,20,8,22,44,9,35,23,14,32,28,22,19,23,13
2014-01-25 23:00:00,19,72,10,16,21,44,26,7,19,48,9,39,19,27,36,32,9,13,27,13
2014-02-01 23:00:00,20,72,9,19,23,42,27,8,33,54,8,34,24,11,47,14,33,16,16,17
2014-02-08 23:00:00,23,75,12,13,31,49,24,8,38,45,9,37,27,19,37,47,6,6,16,16
